,id,message_type,subject,summary,channel_id,importance,web_url,from_user_id,body_content_type,body_content
0,1728290065638,systemEventMessage,,,19:lkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1@thread.tacv2,normal,https://teams.microsoft.com/l/message/19%3Alkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1%40thread.tacv2/1728290065638?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&createdTime=1728290065638&parentMessageId=1728290065638,,html,<systemEventMessage/>
1,1715782704336,message,VCL Umfrage für Abschlussarbeit,,19:lkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1@thread.tacv2,normal,https://teams.microsoft.com/l/message/19%3Alkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1%40thread.tacv2/1715782704336?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&createdTime=1715782704336&parentMessageId=1715782704336,7ea39b9a-e6cc-43ab-bcd6-477d6b131d92,html,"<p>Hey Ihr Lieben,</p>
<p>&nbsp;</p>
<p>Ein Freund schreibt seine Abschlussarbeit und braucht dafür noch Unterstützung bei einer Umfrage, wäre toll wenn ihr euch ein paar Minuten nehmen könnt - Ihr würdet oder werdet euch ja auch freuen, wenn euch da jemand unterstützt.</p>
<p>&nbsp;</p>
<p>Hier sein Text:</p>
<p>mein Name ist Arne und ich bin Student an der Technischen Universität Dresden. Seit Ende 2022 beschäftige ich mich mit Virtual Collaboration Learning und habe in meinem damaligen Forschungsseminar bereits einen KI-basierten Chatbot für VCL-Projekte entworfen.<br>
Im Zuge meiner Abschlussarbeit, die ich aktuell schreibe, setze ich mich mit der Anwendung von Gamification innerhalb von VCL-Umgebungen auseinander. Meine Arbeit stellt in diesem Kontext den ersten Schritt dar und präsentiert ein visuelles Konzept in Form einer Gamification-Anwendung, die in Zukunft womöglich in VCL-Projekte integriert werden soll.<br>
Um herauszufinden, inwiefern dies sinnvoll ist, was verbessert werden könnte und wo Potenzial vorhanden ist, führe ich eine Umfrage durch. Hierfür benötige ich Studierende, die sich mit VCL-Umgebungen auskennen und Erfahrung im Umgang damit haben.<br>
Ich brauche also deine Unterstützung. Selbstverständlich speichere ich deine Daten nicht und kann deine individuellen Antworten im Zuge der Auswertung nicht nachvollziehen.<br>
Ich habe bereits mit Nick Volkmann, meinem Betreuer in diesem Projekt, gesprochen. Es ist alles abgesprochen, dass ich dir hier privat schreibe, da meine Ergebnisse auch für den Lehrstuhl interessant sind.<br>
Hier findest du den Link zur englischsprachigen Umfrage: <a href=""https://forms.gle/tvwhNuTf2QnJuwsz7"" rel=""noreferrer noopener"" title=""https://forms.gle/tvwhnutf2qnjuwsz7"" target=""_blank"">https://forms.gle/tvwhNuTf2QnJuwsz7</a><br>
Bitte gib auf diese Nachricht einen Daumen hoch, sobald du die Umfrage abgeschlossen hast, damit ich einen Überblick über die absolvierten Umfragen erhalte. Sofern du Fragen hast, kannst du mir gerne hier schreiben.<br>
Vielen Dank für deine Unterstützung und weiterhin viel Erfolg im Projekt!<br>
Beste Grüße,<br>
Arne</p>"
2,1702496290932,message,Letztes Update: Schriftliche Reflexion & frohe Weihnachten!,,19:lkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1@thread.tacv2,normal,https://teams.microsoft.com/l/message/19%3Alkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1%40thread.tacv2/1702496290932?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&createdTime=1702496290932&parentMessageId=1702496290932,d1f7e4ad-0bf8-45cc-9523-3fc54da42fc8,html,"<div><div>
<div>

<div itemprop=""copy-paste-block"">

<p>Liebe Gruppe <at id=""0"">Allgemein</at>,&nbsp;</p>



<p>&nbsp;</p>



<p>Die virtuelle Phase neigt sich dem Ende zu, Sie haben Workshop III absolviert und Ihre Geschäftsidee in einem finalen Pitch vorgestellt - Glückwunsch!<emoji id=""star"" alt=""⭐"" title=""""></emoji></p>



<p>&nbsp;</p>



<p>Anbei erhalten Sie Ihre letzte Aufgabe im Modul FIVR/GMD 23/24. Die schriftliche Reflexion ist unbenotet, die Abgabe obligatorisch. Sie haben bis zum 31.01.2024 Zeit. Bitte senden Sie die Reflexion an <a href=""mailto:Mattis.Altmann@tu-dresden.de"" rel=""noreferrer noopener"" target=""_blank"" title=""mailto:mattis.altmann@tu-dresden.de""><span>Mattis.Altmann@tu-dresden.de</span></a> mit der Benennung <b>FIVR_Gruppennummer_Matrikelnummer_Nachname_Reflexion</b>. Alle Informationen finden Sie auch nochmal in der Aufgabenstellung direkt im Dokument.&nbsp;</p>



<p><br>

&nbsp;</p>



<p>Falls Sie die Gelegenheit zum ausfüllen des Fragebogens von Fr. Franke via E-Mail verpasst haben finden Sie hier nochmal den Link (freiwillig, aber wertvoll <emoji id=""smile"" alt=""🙂"" title=""""></emoji>):<br>

&nbsp;</p>



<p><a href=""https://forms.gle/pdJj54NBRPbT7Qxg8"" rel=""noreferrer noopener"" target=""_blank"" title=""https://forms.gle/pdjj54nbrpbt7qxg8"">https://forms.gle/pdJj54NBRPbT7Qxg8</a></p>



<p>&nbsp;</p>



<p>Wir bitten alle Gruppenmitglieder die Umfrage vollständig auszufüllen (ca. 5 Minuten Bearbeitungszeit)</p>



<p>&nbsp;</p>



<p>Ich wünsche Ihnen einen guten Start in die Weihnachtszeit, verbringen Sie die eine erholsame Zeit mit Ihren Liebsten und bleiben Sie gesund. <emoji id=""smile"" alt=""🙂"" title=""""></emoji></p>



<p>&nbsp;</p>



<p>PS: Anbei auch noch der Flyer&nbsp;von Legatum</p>

</div>
</div>
</div>
</div><attachment id=""88cb4013-f19b-43b2-b5df-95b1be4acacc""></attachment><attachment id=""944d1e33-ad7b-4b7c-b9e8-df32db89b0c2""></attachment>"
3,1702485022453,message,,,19:lkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1@thread.tacv2,normal,https://teams.microsoft.com/l/message/19%3Alkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1%40thread.tacv2/1702485022453?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&createdTime=1702485022453&parentMessageId=1702485022453,5e0bb2a1-20d0-46e7-8b9c-7f490c24a74c,html,"<p><a href=""https://teams.microsoft.com/l/meetup-join/19%3ameeting_MDg2ZWI3YzQtZWNlNi00YjgwLWI0MzMtYTZjZWE0OGNhMjBj%40thread.v2/0?context=%7b%22Tid%22%3a%22b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1%22%2c%22Oid%22%3a%22d1f7e4ad-0bf8-45cc-9523-3fc54da42fc8%22%7d"" target=""_blank"" rel=""noreferrer noopener"">https://teams.microsoft.com/l/meetup-join/19%3ameeting_MDg2ZWI3YzQtZWNlNi00YjgwLWI0MzMtYTZjZWE0OGNhMjBj%40thread.v2/0?context=%7b%22Tid%22%3a%22b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1%22%2c%22Oid%22%3a%22d1f7e4ad-0bf8-45cc-9523-3fc54da42fc8%22%7d</a></p><attachment id=""1702485022328""></attachment>"
4,1701704243593,systemEventMessage,,,19:lkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1@thread.tacv2,normal,https://teams.microsoft.com/l/message/19%3Alkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1%40thread.tacv2/1701704243593?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&createdTime=1701704243593&parentMessageId=1701704243593,,html,<systemEventMessage/>
5,1700821026939,message,Update: Aufgabe C2,,19:lkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1@thread.tacv2,normal,https://teams.microsoft.com/l/message/19%3Alkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1%40thread.tacv2/1700821026939?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&createdTime=1700821026939&parentMessageId=1700821026939,d1f7e4ad-0bf8-45cc-9523-3fc54da42fc8,html,"<div><div>
<div>

<div itemprop=""copy-paste-block"">

<p>Liebe Gruppe <at id=""0"">Allgemein</at>,<br>

&nbsp;</p>



<p>Anbei finden sie die letzte Aufgabe, C2, für Ihre virtuelle Phase. Bitte beachten Sie die Bearbeitungszeit von 2 Wochen für Aufgabe C2. Ich freue mich auf ihre spannenden Pitches und wünsche viel Erfolg für den Endspurt in der virtuellen Phase.<emoji id=""like"" alt=""👍"" title=""""></emoji></p>

</div>
</div>
</div>
</div><attachment id=""2fb77f1f-21b3-4785-848f-e3b74a15ceba""></attachment>"
6,1700756710971,message,Folien Workshop II,,19:lkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1@thread.tacv2,normal,https://teams.microsoft.com/l/message/19%3Alkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1%40thread.tacv2/1700756710971?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&createdTime=1700756710971&parentMessageId=1700756710971,d1f7e4ad-0bf8-45cc-9523-3fc54da42fc8,html,"<div><div>Liebe Gruppe <at id=""0"">Allgemein</at>, anbei die Folien für unseren Workshop.</div>
</div><attachment id=""a0c0f1c0-87d2-4480-8c17-69eef3b26f34""></attachment>"
7,1700733029769,message,Update: Miro für Workshop II,,19:lkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1@thread.tacv2,normal,https://teams.microsoft.com/l/message/19%3Alkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1%40thread.tacv2/1700733029769?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&createdTime=1700733029769&parentMessageId=1700733029769,d1f7e4ad-0bf8-45cc-9523-3fc54da42fc8,html,"<div>
<div itemprop=""copy-paste-block"">

<p>Liebe <at id=""0"">G7 FIVR 23/24</at>,</p>



<p>&nbsp;</p>



<p>Anbei finden sie den Link zu Ihrem Miro Board für Workshop II Heute um 17:30 Uhr. <a href=""https://miro.com/app/board/uXjVNTv14jo=/?share_link_id=504869594718"" rel=""noreferrer noopener"" target=""_blank"" title=""https://miro.com/app/board/uxjvntv14jo=/?share_link_id=504869594718"">https://miro.com/app/board/uXjVNTv14jo=/?share_link_id=504869594718</a></p>

</div>
</div>"
8,1700212743343,message,Update: Aufgabe C1 und organisatorische Informationen für die finale Präsentation,,19:lkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1@thread.tacv2,normal,https://teams.microsoft.com/l/message/19%3Alkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1%40thread.tacv2/1700212743343?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&createdTime=1700212743343&parentMessageId=1700212743343,d1f7e4ad-0bf8-45cc-9523-3fc54da42fc8,html,"<div>
<div itemprop=""copy-paste-block"">

<p>Liebe Gruppe <at id=""0"">Allgemein</at></p>



<p><br>

&nbsp;</p>



<p>Anbei erhalten Sie Aufgabe C1 für Ihre Projektplanung. Weiterhin erhalten Sie organisatorische Hinweise zur Finalen Präsentation nach Abschluss von Aufgabe C2. Sie erhalten im Rahmen von Aufgabe C2 weitere Informationen zur Ausgestaltung des Pitches für die finale Präsentation am 13.12.2023.&nbsp;</p>



<p><br>

&nbsp;</p>



<p>Weiterhin viel Erfolg!<emoji id=""like"" alt=""👍"" title=""""></emoji></p>

</div>
</div><attachment id=""8e9b46cc-e63a-4a7d-9854-a0a9a9cbdb5c""></attachment>"
9,1699626326841,message,Reflektion Aufgabe B3.3,,19:lkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1@thread.tacv2,normal,https://teams.microsoft.com/l/message/19%3Alkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1%40thread.tacv2/1699626326841?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&createdTime=1699626326841&parentMessageId=1699626326841,b0239578-8853-45da-aebd-07883bda8feb,html,"<div>
<div itemprop=""copy-paste-block"">
<div>

<div itemprop=""copy-paste-block"">

<div style=""font-size:14px"">
<div>Hallo Gruppe 7&nbsp;(<at id=""0"">Allgemein</at>),</div>

<div>&nbsp;</div>

<div>für die angekündigte Reflektion eurer bisherigen Gruppenarbeit, haben meine Forschungspartnerin Celine Berthold und ich für euch einen Fragebogen erstellt, den jede*r von euch bitte bis zum 21.11. ausfüllt (regulärer Abgabetermin). In dem Fragebogen thematisieren wir vor allem eure Erfahrung im Umgang mit eurer E-Tutorin. Zunächst stellen wir diesbezüglich ein paar allgemeine Fragen, im Anschluss bitten wir euch dann euch zwei ganz bestimmte Interkationen mit der E-Tutorin zu reflektieren. Schaut dazu gerne nochmal in die entsprechenden Posts/Chats. Das Ausfüllen der Umfrage sollte ca. 15min dauern.</div>

<div>Wir bitten euch beim Ausfüllen ehrlich zu sein, ihr braucht keine Sorgen zu haben euch kritisch zu äußern oder Probleme in eurer Gruppe oder mit eurer E-Tutorin anzusprechen.</div>

<div>&nbsp;</div>

<div><u><em><strong>Weder die E-Tutor:innen, noch die Dozenten werden die Umfrageergebnisse einsehen können. Es besteht keine Möglichkeit, dass eure Antworten sich auf eure Modulnoten auswirken.</strong></em></u></div>

<div>&nbsp;</div>

<div>Die Auswertung wird <u><em><strong>komplett anonymisiert</strong></em></u> erfolgen, sodass im finalen wissenschaftlichen Paper, das sich auf diese Umfrage stützen wird, <u><em><strong>keine Rückschlüsse auf eure Person gezogen werden können</strong></em></u>.</div>

<div>&nbsp;</div>

<div>Falls ihr noch Fragen haben solltet, meldet euch gerne bei mir.</div>

<div>&nbsp;</div>

<div>Viele Grüße und viel Erfolg beim weiteren Verlauf eurer Arbeit!</div>

<div>Sophie Cool</div>

<div>&nbsp;</div>

<div><span><span></span></span>


<p><span><span><a href=""https://forms.office.com/Pages/ResponsePage.aspx?id=3GKRtwSN9kSzssWh0LG5odVwmNjFLkJNo9t2PEm34AVUNVJFQ0xFTjNYVzg5VkZZUlFRSVo2NDgwSy4u"" rel=""noreferrer noopener"" target=""_blank"" title=""https://forms.office.com/pages/responsepage.aspx?id=3gkrtwsn9kszsswh0lg5odvwmnjflkjno9t2pem34avunvjfq0xftjnyvzg5vkzzulfrsvo2ndgwsy4u"">https://forms.office.com/Pages/ResponsePage.aspx?id=3GKRtwSN9kSzssWh0LG5odVwmNjFLkJNo9t2PEm34AVUNVJFQ0xFTjNYVzg5VkZZUlFRSVo2NDgwSy4u</a></span></span></p>



<p><span>&nbsp;</span></p>

</div>
</div>
</div>
</div>
</div>
</div>"
