,id,display_name,created_date_time,description,membership_type,web_url
0,19:18834b5e3ac04adea7effb280d92fd29@thread.tacv2,PM,2023-10-13T14:05:34.888Z,In diesem Kanal werden organisatorische Informationen bekannt gegeben.,standard,https://teams.microsoft.com/l/channel/19%3A18834b5e3ac04adea7effb280d92fd29%40thread.tacv2/PM?groupId=2589c649-b820-4ec9-a798-49ea9559fe25&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
1,19:a2be4e6a789542e1af216f0b903594b4@thread.tacv2,Projektreporter,2023-10-18T07:51:59.718Z,In diesem Kanal werden Informationen zur den Projektreports bekannt gegeben.,standard,https://teams.microsoft.com/l/channel/19%3Aa2be4e6a789542e1af216f0b903594b4%40thread.tacv2/Projektreporter?groupId=2589c649-b820-4ec9-a798-49ea9559fe25&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
2,19:a80785327e0b4a7abdd2d3b9fb3dd4f2@thread.tacv2,E-Tutorin,2023-10-11T17:15:53.848Z,In diesem Kanal findet die Kommunikation mit der E-Tutorin statt.,standard,https://teams.microsoft.com/l/channel/19%3Aa80785327e0b4a7abdd2d3b9fb3dd4f2%40thread.tacv2/E-Tutorin?groupId=2589c649-b820-4ec9-a798-49ea9559fe25&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
3,19:bW5WlZAcxGNNidxmfetBjRNcqYGSN_tPwOKohJfPQo41@thread.tacv2,General,2023-09-21T09:41:14.525Z,G6 FIVR 23/24,standard,https://teams.microsoft.com/l/channel/19%3AbW5WlZAcxGNNidxmfetBjRNcqYGSN_tPwOKohJfPQo41%40thread.tacv2/G6%20FIVR%2023%2F24?groupId=2589c649-b820-4ec9-a798-49ea9559fe25&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
4,19:d8e8cff91c3a47c89cc2279021366ee7@thread.tacv2,Aufgabenspezifische Themen,2023-10-20T11:26:18.763Z,In diesem Kanal werden aufgabenspezifische Themen diskutiert.,standard,https://teams.microsoft.com/l/channel/19%3Ad8e8cff91c3a47c89cc2279021366ee7%40thread.tacv2/Aufgabenspezifische%20Themen?groupId=2589c649-b820-4ec9-a798-49ea9559fe25&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
0,19:18834b5e3ac04adea7effb280d92fd29@thread.tacv2,PM,2023-10-13T14:05:34.888Z,In diesem Kanal werden organisatorische Informationen bekannt gegeben.,standard,https://teams.microsoft.com/l/channel/19%3A18834b5e3ac04adea7effb280d92fd29%40thread.tacv2/PM?groupId=2589c649-b820-4ec9-a798-49ea9559fe25&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
1,19:a2be4e6a789542e1af216f0b903594b4@thread.tacv2,Projektreporter,2023-10-18T07:51:59.718Z,In diesem Kanal werden Informationen zur den Projektreports bekannt gegeben.,standard,https://teams.microsoft.com/l/channel/19%3Aa2be4e6a789542e1af216f0b903594b4%40thread.tacv2/Projektreporter?groupId=2589c649-b820-4ec9-a798-49ea9559fe25&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
2,19:a80785327e0b4a7abdd2d3b9fb3dd4f2@thread.tacv2,E-Tutorin,2023-10-11T17:15:53.848Z,In diesem Kanal findet die Kommunikation mit der E-Tutorin statt.,standard,https://teams.microsoft.com/l/channel/19%3Aa80785327e0b4a7abdd2d3b9fb3dd4f2%40thread.tacv2/E-Tutorin?groupId=2589c649-b820-4ec9-a798-49ea9559fe25&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
3,19:bW5WlZAcxGNNidxmfetBjRNcqYGSN_tPwOKohJfPQo41@thread.tacv2,General,2023-09-21T09:41:14.525Z,G6 FIVR 23/24,standard,https://teams.microsoft.com/l/channel/19%3AbW5WlZAcxGNNidxmfetBjRNcqYGSN_tPwOKohJfPQo41%40thread.tacv2/G6%20FIVR%2023%2F24?groupId=2589c649-b820-4ec9-a798-49ea9559fe25&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
4,19:d8e8cff91c3a47c89cc2279021366ee7@thread.tacv2,Aufgabenspezifische Themen,2023-10-20T11:26:18.763Z,In diesem Kanal werden aufgabenspezifische Themen diskutiert.,standard,https://teams.microsoft.com/l/channel/19%3Ad8e8cff91c3a47c89cc2279021366ee7%40thread.tacv2/Aufgabenspezifische%20Themen?groupId=2589c649-b820-4ec9-a798-49ea9559fe25&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
