,id,display_name,created_date_time,description,membership_type,web_url
0,19:67aa170e70d547869145a67024db677d@thread.tacv2,Mediascholars 🚀,2023-10-09T13:15:30.891Z,,private,https://teams.microsoft.com/l/channel/19%3A67aa170e70d547869145a67024db677d%40thread.tacv2/Mediascholars%20%F0%9F%9A%80?groupId=991bc98e-b4e5-4035-a19c-7b6d774411c1&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
1,19:9c3a77a5120a427495f4fcfc2ac5e3c5@thread.tacv2,Group AAAA,2023-10-09T13:21:03.275Z,Ambitioniert. Adäquat. Administrativ. Artistisch. https://youtube.com/shorts/R7jpe8DLV88?si=yAK9AFVCLe7dfxbD,private,https://teams.microsoft.com/l/channel/19%3A9c3a77a5120a427495f4fcfc2ac5e3c5%40thread.tacv2/Group%20AAAA?groupId=991bc98e-b4e5-4035-a19c-7b6d774411c1&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
2,19:d8f0db9dfc444ab6a312dd47744995d6@thread.tacv2,Group Digital Defense Dresden,2023-10-09T13:17:35.492Z,,private,https://teams.microsoft.com/l/channel/19%3Ad8f0db9dfc444ab6a312dd47744995d6%40thread.tacv2/Group%20Digital%20Defense%20Dresden?groupId=991bc98e-b4e5-4035-a19c-7b6d774411c1&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
3,19:fd9831052e4840209ed73fd17f32df11@thread.tacv2,DD MK 311 E,2023-10-09T13:16:13.802Z,,private,https://teams.microsoft.com/l/channel/19%3Afd9831052e4840209ed73fd17f32df11%40thread.tacv2/DD%20MK%20311%20E?groupId=991bc98e-b4e5-4035-a19c-7b6d774411c1&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
4,19:MTP6F7PpBHQppT772Jw9btbAF9EedfSASRD04EqnoFI1@thread.tacv2,General,2023-10-09T07:12:40.638Z,"Welcome to our comprehensive course designed especially for the digitally-evolved student of today. Dive into an immersive six-week journey where you will collaborate in interdisciplinary teams of 4-5 students, coming together to harness the power of diverse perspectives. This course not only emphasizes key soft skills but also provides practical exposure to digital tools, ensuring you're equipped for the modern workplace.",standard,https://teams.microsoft.com/l/channel/19%3AMTP6F7PpBHQppT772Jw9btbAF9EedfSASRD04EqnoFI1%40thread.tacv2/License%20for%20digital%20Competence?groupId=991bc98e-b4e5-4035-a19c-7b6d774411c1&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
0,19:67aa170e70d547869145a67024db677d@thread.tacv2,Mediascholars 🚀,2023-10-09T13:15:30.891Z,,private,https://teams.microsoft.com/l/channel/19%3A67aa170e70d547869145a67024db677d%40thread.tacv2/Mediascholars%20%F0%9F%9A%80?groupId=991bc98e-b4e5-4035-a19c-7b6d774411c1&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
1,19:9c3a77a5120a427495f4fcfc2ac5e3c5@thread.tacv2,Group AAAA,2023-10-09T13:21:03.275Z,Ambitioniert. Adäquat. Administrativ. Artistisch. https://youtube.com/shorts/R7jpe8DLV88?si=yAK9AFVCLe7dfxbD,private,https://teams.microsoft.com/l/channel/19%3A9c3a77a5120a427495f4fcfc2ac5e3c5%40thread.tacv2/Group%20AAAA?groupId=991bc98e-b4e5-4035-a19c-7b6d774411c1&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
2,19:d8f0db9dfc444ab6a312dd47744995d6@thread.tacv2,Group Digital Defense Dresden,2023-10-09T13:17:35.492Z,,private,https://teams.microsoft.com/l/channel/19%3Ad8f0db9dfc444ab6a312dd47744995d6%40thread.tacv2/Group%20Digital%20Defense%20Dresden?groupId=991bc98e-b4e5-4035-a19c-7b6d774411c1&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
3,19:fd9831052e4840209ed73fd17f32df11@thread.tacv2,DD MK 311 E,2023-10-09T13:16:13.802Z,,private,https://teams.microsoft.com/l/channel/19%3Afd9831052e4840209ed73fd17f32df11%40thread.tacv2/DD%20MK%20311%20E?groupId=991bc98e-b4e5-4035-a19c-7b6d774411c1&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
4,19:MTP6F7PpBHQppT772Jw9btbAF9EedfSASRD04EqnoFI1@thread.tacv2,General,2023-10-09T07:12:40.638Z,"Welcome to our comprehensive course designed especially for the digitally-evolved student of today. Dive into an immersive six-week journey where you will collaborate in interdisciplinary teams of 4-5 students, coming together to harness the power of diverse perspectives. This course not only emphasizes key soft skills but also provides practical exposure to digital tools, ensuring you're equipped for the modern workplace.",standard,https://teams.microsoft.com/l/channel/19%3AMTP6F7PpBHQppT772Jw9btbAF9EedfSASRD04EqnoFI1%40thread.tacv2/License%20for%20digital%20Competence?groupId=991bc98e-b4e5-4035-a19c-7b6d774411c1&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
