,id,display_name,created_date_time,description,membership_type,web_url
0,19:505ba69383eb4b099ad038f4056e4082@thread.tacv2,Aufgabe B3,2023-11-12T17:01:58.974Z,,standard,https://teams.microsoft.com/l/channel/19%3A505ba69383eb4b099ad038f4056e4082%40thread.tacv2/Aufgabe%20B3?groupId=b2ba4410-35e0-4d09-b30d-59b683dc1f92&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
1,19:54210f2a225c45329351f298fb1b2e45@thread.tacv2,Aufgabe C1,2023-11-17T09:21:43.963Z,,standard,https://teams.microsoft.com/l/channel/19%3A54210f2a225c45329351f298fb1b2e45%40thread.tacv2/Aufgabe%20C1?groupId=b2ba4410-35e0-4d09-b30d-59b683dc1f92&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
2,19:574d8829625641929c204628c26aed87@thread.tacv2,Aufgabe B1,2023-10-31T13:15:43.703Z,,standard,https://teams.microsoft.com/l/channel/19%3A574d8829625641929c204628c26aed87%40thread.tacv2/Aufgabe%20B1?groupId=b2ba4410-35e0-4d09-b30d-59b683dc1f92&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
3,19:58c9aa07e016456390d1de8561a40adc@thread.tacv2,Aufgabe A1,2023-10-12T15:03:41.943Z,,standard,https://teams.microsoft.com/l/channel/19%3A58c9aa07e016456390d1de8561a40adc%40thread.tacv2/Aufgabe%20A1?groupId=b2ba4410-35e0-4d09-b30d-59b683dc1f92&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
4,19:5ba1b15b12114d9894411d58ec627429@thread.tacv2,Aufgabe C2 und Pitch,2023-11-26T18:36:55.59Z,,standard,https://teams.microsoft.com/l/channel/19%3A5ba1b15b12114d9894411d58ec627429%40thread.tacv2/Aufgabe%20C2%20und%20Pitch?groupId=b2ba4410-35e0-4d09-b30d-59b683dc1f92&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
5,19:9gUDbhBfrvTDN8gmD1El6RLtTC3-BB3LGQxEECyNUfo1@thread.tacv2,General,2023-09-21T09:42:15.206Z,G8 FIVR 23/24,standard,https://teams.microsoft.com/l/channel/19%3A9gUDbhBfrvTDN8gmD1El6RLtTC3-BB3LGQxEECyNUfo1%40thread.tacv2/G8%20FIVR%2023%2F24?groupId=b2ba4410-35e0-4d09-b30d-59b683dc1f92&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
6,19:c2ff21655d9746a1895151a1144baa95@thread.tacv2,Aufgabe A2,2023-10-20T18:53:19.999Z,,standard,https://teams.microsoft.com/l/channel/19%3Ac2ff21655d9746a1895151a1144baa95%40thread.tacv2/Aufgabe%20A2?groupId=b2ba4410-35e0-4d09-b30d-59b683dc1f92&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
7,19:cbabafd172ed420e88c72b372e4cdbca@thread.tacv2,E-Tutor,2023-10-11T18:42:16.707Z,Wir nutzen diesen Channel für die Kommunikation mit unserer E-Tutorin Sophie.,standard,https://teams.microsoft.com/l/channel/19%3Acbabafd172ed420e88c72b372e4cdbca%40thread.tacv2/E-Tutor?groupId=b2ba4410-35e0-4d09-b30d-59b683dc1f92&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
8,19:f52d21fef1b14deab5c9deb1fe3a5110@thread.tacv2,Aufgabe B2,2023-11-06T18:56:19.181Z,,standard,https://teams.microsoft.com/l/channel/19%3Af52d21fef1b14deab5c9deb1fe3a5110%40thread.tacv2/Aufgabe%20B2?groupId=b2ba4410-35e0-4d09-b30d-59b683dc1f92&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
0,19:505ba69383eb4b099ad038f4056e4082@thread.tacv2,Aufgabe B3,2023-11-12T17:01:58.974Z,,standard,https://teams.microsoft.com/l/channel/19%3A505ba69383eb4b099ad038f4056e4082%40thread.tacv2/Aufgabe%20B3?groupId=b2ba4410-35e0-4d09-b30d-59b683dc1f92&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
