,id,display_name,created_date_time,description,membership_type,web_url
0,19:2a2b9f992d5746748bdfc74eed5eb434@thread.tacv2,Abgaben,2023-10-13T11:49:18.36Z,Hier geben wir unsere Dokumente ab.,standard,https://teams.microsoft.com/l/channel/19%3A2a2b9f992d5746748bdfc74eed5eb434%40thread.tacv2/Abgaben?groupId=bb7e2188-3282-4e05-a8fe-00caa511bc40&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
1,19:31708184bc324466aace7bd837088d56@thread.tacv2,Projektmanagement,2023-10-11T17:19:07.851Z,Hier werden Protokolle und alles rund um das Projekt besprochen und gesammelt.,standard,https://teams.microsoft.com/l/channel/19%3A31708184bc324466aace7bd837088d56%40thread.tacv2/Projektmanagement?groupId=bb7e2188-3282-4e05-a8fe-00caa511bc40&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
2,19:3e59d3610fd840569451f6af4336b97a@thread.tacv2,Nützliches,2023-10-24T08:32:06.078Z,,standard,https://teams.microsoft.com/l/channel/19%3A3e59d3610fd840569451f6af4336b97a%40thread.tacv2/N%C3%BCtzliches?groupId=bb7e2188-3282-4e05-a8fe-00caa511bc40&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
3,19:78b9549373284c7caa1fa11a419fc39f@thread.tacv2,E-Tutor,2023-10-13T11:49:42.621Z,,standard,https://teams.microsoft.com/l/channel/19%3A78b9549373284c7caa1fa11a419fc39f%40thread.tacv2/E-Tutor?groupId=bb7e2188-3282-4e05-a8fe-00caa511bc40&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
4,19:b9a06fc096f8487eac86b30d07e8269d@thread.tacv2,Aufgaben,2023-10-13T13:18:04.923Z,,standard,https://teams.microsoft.com/l/channel/19%3Ab9a06fc096f8487eac86b30d07e8269d%40thread.tacv2/Aufgaben?groupId=bb7e2188-3282-4e05-a8fe-00caa511bc40&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
5,19:d-VIzIc2FRxq5IHF65I306xql6yXkWrosXaUYyC6Qd41@thread.tacv2,General,2023-09-21T09:40:14.004Z,G4 FIVR 23/24,standard,https://teams.microsoft.com/l/channel/19%3Ad-VIzIc2FRxq5IHF65I306xql6yXkWrosXaUYyC6Qd41%40thread.tacv2/G4%20FIVR%2023%2F24?groupId=bb7e2188-3282-4e05-a8fe-00caa511bc40&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
0,19:2a2b9f992d5746748bdfc74eed5eb434@thread.tacv2,Abgaben,2023-10-13T11:49:18.36Z,Hier geben wir unsere Dokumente ab.,standard,https://teams.microsoft.com/l/channel/19%3A2a2b9f992d5746748bdfc74eed5eb434%40thread.tacv2/Abgaben?groupId=bb7e2188-3282-4e05-a8fe-00caa511bc40&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
1,19:31708184bc324466aace7bd837088d56@thread.tacv2,Projektmanagement,2023-10-11T17:19:07.851Z,Hier werden Protokolle und alles rund um das Projekt besprochen und gesammelt.,standard,https://teams.microsoft.com/l/channel/19%3A31708184bc324466aace7bd837088d56%40thread.tacv2/Projektmanagement?groupId=bb7e2188-3282-4e05-a8fe-00caa511bc40&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
2,19:3e59d3610fd840569451f6af4336b97a@thread.tacv2,Nützliches,2023-10-24T08:32:06.078Z,,standard,https://teams.microsoft.com/l/channel/19%3A3e59d3610fd840569451f6af4336b97a%40thread.tacv2/N%C3%BCtzliches?groupId=bb7e2188-3282-4e05-a8fe-00caa511bc40&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
3,19:78b9549373284c7caa1fa11a419fc39f@thread.tacv2,E-Tutor,2023-10-13T11:49:42.621Z,,standard,https://teams.microsoft.com/l/channel/19%3A78b9549373284c7caa1fa11a419fc39f%40thread.tacv2/E-Tutor?groupId=bb7e2188-3282-4e05-a8fe-00caa511bc40&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
4,19:b9a06fc096f8487eac86b30d07e8269d@thread.tacv2,Aufgaben,2023-10-13T13:18:04.923Z,,standard,https://teams.microsoft.com/l/channel/19%3Ab9a06fc096f8487eac86b30d07e8269d%40thread.tacv2/Aufgaben?groupId=bb7e2188-3282-4e05-a8fe-00caa511bc40&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
5,19:d-VIzIc2FRxq5IHF65I306xql6yXkWrosXaUYyC6Qd41@thread.tacv2,General,2023-09-21T09:40:14.004Z,G4 FIVR 23/24,standard,https://teams.microsoft.com/l/channel/19%3Ad-VIzIc2FRxq5IHF65I306xql6yXkWrosXaUYyC6Qd41%40thread.tacv2/G4%20FIVR%2023%2F24?groupId=bb7e2188-3282-4e05-a8fe-00caa511bc40&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
