,id,display_name,created_date_time,description,membership_type,web_url
0,19:0bb5b1c31da94f14b2747639f6a2adee@thread.tacv2,Projekt-Koordination,2023-10-16T14:17:18.203Z,,standard,https://teams.microsoft.com/l/channel/19%3A0bb5b1c31da94f14b2747639f6a2adee%40thread.tacv2/Projekt-Koordination?groupId=cbed6e4f-76e6-476b-b346-920747261ff6&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
1,19:1ba2897e07894519b4a54c3313b639ea@thread.tacv2,A0,2023-10-11T18:15:46.802Z,,standard,https://teams.microsoft.com/l/channel/19%3A1ba2897e07894519b4a54c3313b639ea%40thread.tacv2/A0?groupId=cbed6e4f-76e6-476b-b346-920747261ff6&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
2,19:239c1215ca96495f88622dcaeb1ca137@thread.tacv2,C1,2023-11-20T13:36:59.275Z,,standard,https://teams.microsoft.com/l/channel/19%3A239c1215ca96495f88622dcaeb1ca137%40thread.tacv2/C1?groupId=cbed6e4f-76e6-476b-b346-920747261ff6&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
3,19:295cf484dfc74070bf9efe6b117dca31@thread.tacv2,A2,2023-10-23T15:17:05.559Z,,standard,https://teams.microsoft.com/l/channel/19%3A295cf484dfc74070bf9efe6b117dca31%40thread.tacv2/A2?groupId=cbed6e4f-76e6-476b-b346-920747261ff6&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
4,19:3bfe39ab0a1a4b8599496ef156b6e658@thread.tacv2,E-Tutorin,2023-10-11T18:15:35.671Z,,standard,https://teams.microsoft.com/l/channel/19%3A3bfe39ab0a1a4b8599496ef156b6e658%40thread.tacv2/E-Tutorin?groupId=cbed6e4f-76e6-476b-b346-920747261ff6&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
5,19:40bb0e1bd9f1469ebbdef21476978dcc@thread.tacv2,B3,2023-11-14T10:01:05.799Z,,standard,https://teams.microsoft.com/l/channel/19%3A40bb0e1bd9f1469ebbdef21476978dcc%40thread.tacv2/B3?groupId=cbed6e4f-76e6-476b-b346-920747261ff6&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
6,19:5dfdf0721b664d1c9b1959a6d499a18d@thread.tacv2,C2,2023-11-28T09:26:08.59Z,,standard,https://teams.microsoft.com/l/channel/19%3A5dfdf0721b664d1c9b1959a6d499a18d%40thread.tacv2/C2?groupId=cbed6e4f-76e6-476b-b346-920747261ff6&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
7,19:bf948d73782b4e1083b64658b5aaf95b@thread.tacv2,Finale Abgaben,2023-10-16T13:52:12.366Z,,standard,https://teams.microsoft.com/l/channel/19%3Abf948d73782b4e1083b64658b5aaf95b%40thread.tacv2/Finale%20Abgaben?groupId=cbed6e4f-76e6-476b-b346-920747261ff6&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
8,19:db63db7e80694348884c3d5cce9e4c2d@thread.tacv2,B1,2023-10-29T13:15:33.032Z,,standard,https://teams.microsoft.com/l/channel/19%3Adb63db7e80694348884c3d5cce9e4c2d%40thread.tacv2/B1?groupId=cbed6e4f-76e6-476b-b346-920747261ff6&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
9,19:e45026b7a34a416d8754d12991513b5c@thread.tacv2,B2,2023-11-06T18:58:20.571Z,,standard,https://teams.microsoft.com/l/channel/19%3Ae45026b7a34a416d8754d12991513b5c%40thread.tacv2/B2?groupId=cbed6e4f-76e6-476b-b346-920747261ff6&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
10,19:f05b8f6398ad4dd69d749fbe0096116a@thread.tacv2,A1,2023-10-11T20:15:07.593Z,,standard,https://teams.microsoft.com/l/channel/19%3Af05b8f6398ad4dd69d749fbe0096116a%40thread.tacv2/A1?groupId=cbed6e4f-76e6-476b-b346-920747261ff6&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
11,19:oprBJ970CMUD3wbwjySZUeI7To0uBvPxuzrPD4iC6oc1@thread.tacv2,General,2023-09-21T09:39:09.232Z,G2 FIVR 23/24,standard,https://teams.microsoft.com/l/channel/19%3AoprBJ970CMUD3wbwjySZUeI7To0uBvPxuzrPD4iC6oc1%40thread.tacv2/G2%20FIVR%2023%2F24?groupId=cbed6e4f-76e6-476b-b346-920747261ff6&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
0,19:0bb5b1c31da94f14b2747639f6a2adee@thread.tacv2,Projekt-Koordination,2023-10-16T14:17:18.203Z,,standard,https://teams.microsoft.com/l/channel/19%3A0bb5b1c31da94f14b2747639f6a2adee%40thread.tacv2/Projekt-Koordination?groupId=cbed6e4f-76e6-476b-b346-920747261ff6&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
1,19:1ba2897e07894519b4a54c3313b639ea@thread.tacv2,A0,2023-10-11T18:15:46.802Z,,standard,https://teams.microsoft.com/l/channel/19%3A1ba2897e07894519b4a54c3313b639ea%40thread.tacv2/A0?groupId=cbed6e4f-76e6-476b-b346-920747261ff6&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
2,19:239c1215ca96495f88622dcaeb1ca137@thread.tacv2,C1,2023-11-20T13:36:59.275Z,,standard,https://teams.microsoft.com/l/channel/19%3A239c1215ca96495f88622dcaeb1ca137%40thread.tacv2/C1?groupId=cbed6e4f-76e6-476b-b346-920747261ff6&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
3,19:295cf484dfc74070bf9efe6b117dca31@thread.tacv2,A2,2023-10-23T15:17:05.559Z,,standard,https://teams.microsoft.com/l/channel/19%3A295cf484dfc74070bf9efe6b117dca31%40thread.tacv2/A2?groupId=cbed6e4f-76e6-476b-b346-920747261ff6&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
4,19:3bfe39ab0a1a4b8599496ef156b6e658@thread.tacv2,E-Tutorin,2023-10-11T18:15:35.671Z,,standard,https://teams.microsoft.com/l/channel/19%3A3bfe39ab0a1a4b8599496ef156b6e658%40thread.tacv2/E-Tutorin?groupId=cbed6e4f-76e6-476b-b346-920747261ff6&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
5,19:40bb0e1bd9f1469ebbdef21476978dcc@thread.tacv2,B3,2023-11-14T10:01:05.799Z,,standard,https://teams.microsoft.com/l/channel/19%3A40bb0e1bd9f1469ebbdef21476978dcc%40thread.tacv2/B3?groupId=cbed6e4f-76e6-476b-b346-920747261ff6&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
