,id,display_name,created_date_time,description,membership_type,web_url
0,19:1455e851b4d44f03828941328117c188@thread.tacv2,Arbeitsraum 2,2023-11-03T15:25:27.315Z,,standard,https://teams.microsoft.com/l/channel/19%3A1455e851b4d44f03828941328117c188%40thread.tacv2/Arbeitsraum%202?groupId=ddeb930b-a6af-4cb6-87a4-e422bcde6951&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
1,19:2d8bb2e6b15b4ae3a9651e1b060daec7@thread.tacv2,Arbeitsraum 1,2023-11-03T15:24:19.36Z,,standard,https://teams.microsoft.com/l/channel/19%3A2d8bb2e6b15b4ae3a9651e1b060daec7%40thread.tacv2/Arbeitsraum%201?groupId=ddeb930b-a6af-4cb6-87a4-e422bcde6951&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
2,19:3ca1a28f6b7b4b65a1c0cbf73541845e@thread.tacv2,Finale Präsentation,2023-11-03T15:24:33.949Z,,standard,https://teams.microsoft.com/l/channel/19%3A3ca1a28f6b7b4b65a1c0cbf73541845e%40thread.tacv2/Finale%20Pr%C3%A4sentation?groupId=ddeb930b-a6af-4cb6-87a4-e422bcde6951&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
3,19:7927c02f295e41d784bfd47f96a8766b@thread.tacv2,Arbeitsraum 3,2023-10-17T13:48:40.909Z,Aufgabe A1 1.1,standard,https://teams.microsoft.com/l/channel/19%3A7927c02f295e41d784bfd47f96a8766b%40thread.tacv2/Arbeitsraum%203?groupId=ddeb930b-a6af-4cb6-87a4-e422bcde6951&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
4,19:9609853f96d2437fa9f22206638c7b3d@thread.tacv2,Zufällig,2023-10-15T19:46:17.628Z,"Kanal für Dies und Das was interessant ist, gern auch off topic :)",standard,https://teams.microsoft.com/l/channel/19%3A9609853f96d2437fa9f22206638c7b3d%40thread.tacv2/Zuf%C3%A4llig?groupId=ddeb930b-a6af-4cb6-87a4-e422bcde6951&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
5,19:b10ec1d9b2a748a49c6c444ce57b345c@thread.tacv2,technologische Analyse,2023-10-17T13:49:52.66Z,,standard,https://teams.microsoft.com/l/channel/19%3Ab10ec1d9b2a748a49c6c444ce57b345c%40thread.tacv2/technologische%20Analyse?groupId=ddeb930b-a6af-4cb6-87a4-e422bcde6951&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
6,19:b6fae4690b4747598db68956adfbc4f5@thread.tacv2,Arbeitsraum 4,2023-10-17T13:49:38.367Z,,standard,https://teams.microsoft.com/l/channel/19%3Ab6fae4690b4747598db68956adfbc4f5%40thread.tacv2/Arbeitsraum%204?groupId=ddeb930b-a6af-4cb6-87a4-e422bcde6951&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
7,19:c34e3303c5f94ea7ac8e33cb311a5068@thread.tacv2,PP-Präsentation,2023-10-17T13:50:05.422Z,,standard,https://teams.microsoft.com/l/channel/19%3Ac34e3303c5f94ea7ac8e33cb311a5068%40thread.tacv2/PP-Pr%C3%A4sentation?groupId=ddeb930b-a6af-4cb6-87a4-e422bcde6951&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
8,19:iNq_D4c6VJ1w-IBN4GvikPn9To2jXyxCQkMGnIZAk9c1@thread.tacv2,General,2023-09-21T09:39:40.608Z,G3 FIVR 23/24,standard,https://teams.microsoft.com/l/channel/19%3AiNq_D4c6VJ1w-IBN4GvikPn9To2jXyxCQkMGnIZAk9c1%40thread.tacv2/G3%20FIVR%2023%2F24?groupId=ddeb930b-a6af-4cb6-87a4-e422bcde6951&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
0,19:1455e851b4d44f03828941328117c188@thread.tacv2,Arbeitsraum 2,2023-11-03T15:25:27.315Z,,standard,https://teams.microsoft.com/l/channel/19%3A1455e851b4d44f03828941328117c188%40thread.tacv2/Arbeitsraum%202?groupId=ddeb930b-a6af-4cb6-87a4-e422bcde6951&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
