,id,display_name,created_date_time,description,membership_type,web_url
0,19:18e8f1a306664dc788f3b88de2284fdb@thread.tacv2,C1,2023-10-17T09:11:19.502Z,,standard,https://teams.microsoft.com/l/channel/19%3A18e8f1a306664dc788f3b88de2284fdb%40thread.tacv2/C1?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
1,19:4bd34761531e4cd29f72df058e2e74c9@thread.tacv2,C2,2023-10-17T09:11:30.633Z,,standard,https://teams.microsoft.com/l/channel/19%3A4bd34761531e4cd29f72df058e2e74c9%40thread.tacv2/C2?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
2,19:5e60b97ac3e44bd0adc78189b7ebc029@thread.tacv2,A2 Brainstorming,2023-10-12T07:51:28.489Z,,standard,https://teams.microsoft.com/l/channel/19%3A5e60b97ac3e44bd0adc78189b7ebc029%40thread.tacv2/A2%20Brainstorming?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
3,19:724e2664f8314613807c5ddabaf24dad@thread.tacv2,A1 Ontology,2023-10-12T07:50:48.81Z,,standard,https://teams.microsoft.com/l/channel/19%3A724e2664f8314613807c5ddabaf24dad%40thread.tacv2/A1%20Ontology?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
4,19:7f509cb768494b7cb95834bbd5101936@thread.tacv2,E-Tutor,2023-10-12T09:15:07.774Z,,standard,https://teams.microsoft.com/l/channel/19%3A7f509cb768494b7cb95834bbd5101936%40thread.tacv2/E-Tutor?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
5,19:995b24155ffd4772909767f23ad7c16b@thread.tacv2,A0 Gruppenvertrag,2023-10-12T07:50:01.108Z,"hier können wir Sachen für A0, den Gruppenvertrag, besprechen :)",standard,https://teams.microsoft.com/l/channel/19%3A995b24155ffd4772909767f23ad7c16b%40thread.tacv2/A0%20Gruppenvertrag?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
6,19:a3b4000f6fb34c0287a513d56e740eb7@thread.tacv2,B3,2023-10-12T07:52:21.197Z,,standard,https://teams.microsoft.com/l/channel/19%3Aa3b4000f6fb34c0287a513d56e740eb7%40thread.tacv2/B3?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
7,19:b5e8e5586a354a27bf31011cf32d29d0@thread.tacv2,Projektreporter,2023-10-17T08:00:13.737Z,,standard,https://teams.microsoft.com/l/channel/19%3Ab5e8e5586a354a27bf31011cf32d29d0%40thread.tacv2/Projektreporter?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
8,19:ce0952013091452ab469e944961a41b2@thread.tacv2,Projektmanagement,2023-10-17T08:26:28.471Z,,standard,https://teams.microsoft.com/l/channel/19%3Ace0952013091452ab469e944961a41b2%40thread.tacv2/Projektmanagement?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
9,19:e356bcef2dc649129e99ce0c3172b8ea@thread.tacv2,B1,2023-10-12T07:51:56.079Z,,standard,https://teams.microsoft.com/l/channel/19%3Ae356bcef2dc649129e99ce0c3172b8ea%40thread.tacv2/B1?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
10,19:ea86f72ef31942f283f947e76adb057e@thread.tacv2,B2,2023-10-12T07:52:06.965Z,,standard,https://teams.microsoft.com/l/channel/19%3Aea86f72ef31942f283f947e76adb057e%40thread.tacv2/B2?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
11,19:lkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1@thread.tacv2,General,2023-09-21T09:41:46.022Z,G7 FIVR 23/24,standard,https://teams.microsoft.com/l/channel/19%3Alkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1%40thread.tacv2/G7%20FIVR%2023%2F24?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True
0,19:18e8f1a306664dc788f3b88de2284fdb@thread.tacv2,C1,2023-10-17T09:11:19.502Z,,standard,https://teams.microsoft.com/l/channel/19%3A18e8f1a306664dc788f3b88de2284fdb%40thread.tacv2/C1?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
1,19:4bd34761531e4cd29f72df058e2e74c9@thread.tacv2,C2,2023-10-17T09:11:30.633Z,,standard,https://teams.microsoft.com/l/channel/19%3A4bd34761531e4cd29f72df058e2e74c9%40thread.tacv2/C2?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
2,19:5e60b97ac3e44bd0adc78189b7ebc029@thread.tacv2,A2 Brainstorming,2023-10-12T07:51:28.489Z,,standard,https://teams.microsoft.com/l/channel/19%3A5e60b97ac3e44bd0adc78189b7ebc029%40thread.tacv2/A2%20Brainstorming?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
3,19:724e2664f8314613807c5ddabaf24dad@thread.tacv2,A1 Ontology,2023-10-12T07:50:48.81Z,,standard,https://teams.microsoft.com/l/channel/19%3A724e2664f8314613807c5ddabaf24dad%40thread.tacv2/A1%20Ontology?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
4,19:7f509cb768494b7cb95834bbd5101936@thread.tacv2,E-Tutor,2023-10-12T09:15:07.774Z,,standard,https://teams.microsoft.com/l/channel/19%3A7f509cb768494b7cb95834bbd5101936%40thread.tacv2/E-Tutor?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
5,19:995b24155ffd4772909767f23ad7c16b@thread.tacv2,A0 Gruppenvertrag,2023-10-12T07:50:01.108Z,"hier können wir Sachen für A0, den Gruppenvertrag, besprechen :)",standard,https://teams.microsoft.com/l/channel/19%3A995b24155ffd4772909767f23ad7c16b%40thread.tacv2/A0%20Gruppenvertrag?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
6,19:a3b4000f6fb34c0287a513d56e740eb7@thread.tacv2,B3,2023-10-12T07:52:21.197Z,,standard,https://teams.microsoft.com/l/channel/19%3Aa3b4000f6fb34c0287a513d56e740eb7%40thread.tacv2/B3?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
7,19:b5e8e5586a354a27bf31011cf32d29d0@thread.tacv2,Projektreporter,2023-10-17T08:00:13.737Z,,standard,https://teams.microsoft.com/l/channel/19%3Ab5e8e5586a354a27bf31011cf32d29d0%40thread.tacv2/Projektreporter?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
8,19:ce0952013091452ab469e944961a41b2@thread.tacv2,Projektmanagement,2023-10-17T08:26:28.471Z,,standard,https://teams.microsoft.com/l/channel/19%3Ace0952013091452ab469e944961a41b2%40thread.tacv2/Projektmanagement?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
9,19:e356bcef2dc649129e99ce0c3172b8ea@thread.tacv2,B1,2023-10-12T07:51:56.079Z,,standard,https://teams.microsoft.com/l/channel/19%3Ae356bcef2dc649129e99ce0c3172b8ea%40thread.tacv2/B1?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
10,19:ea86f72ef31942f283f947e76adb057e@thread.tacv2,B2,2023-10-12T07:52:06.965Z,,standard,https://teams.microsoft.com/l/channel/19%3Aea86f72ef31942f283f947e76adb057e%40thread.tacv2/B2?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
11,19:lkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1@thread.tacv2,General,2023-09-21T09:41:46.022Z,G7 FIVR 23/24,standard,https://teams.microsoft.com/l/channel/19%3Alkhu8yhV9x5jUNsqSuQSXAabqI8qU5aE8jTM0FSzapM1%40thread.tacv2/G7%20FIVR%2023%2F24?groupId=e13f70ef-d850-4916-8bed-c4e6d9bf65c0&tenantId=b79162dc-8d04-44f6-b3b2-c5a1d0b1b9a1&allowXTenantAccess=True&ngc=True
